model,nmse_db,n_params,runtime_ms,training
ISTA,-5.327034719937802,0,1.0170845599895983,none
FISTA,-10.99519879180162,0,1.116479199990863,none
ThresholdISTA,-7.114329816387187,16,1.1266047800017986,final loss
StepISTA,-20.007463991954786,16,1.1777592399994319,final loss
StepThresholdISTA,-23.55023588246503,32,1.1558845799845585,final loss
LISTA-L1,-20.428080139908555,6000016,1.335254959994927,L1 final loss (0.9 min train)
LISTA-L2,-22.202204846438786,6000016,1.3257893799891463,L2 intermediate (1.1 min train)
LISTA-L3,-16.63775081146314,6000016,1.3471820800077694,L3 greedy (0.5 min train)
LISTA-Tied-L1,-19.25546932473954,375001,1.3712655000017548,tied L1 (0.7 min train)
LISTA-Tied-L2,-19.129133111882865,375001,1.3185967200115556,tied L2 (0.9 min train)
ALISTA,-29.96720664665643,32,3.24867584000458,analytic W + scalars (1.6 min train)
HyperLISTA,-62.90134761235484,3,5.653795399994124,grid-tuned hparams (0.3 min tune)
