model,nmse_db,psnr,ssim,n_params,runtime_ms,training,dataset,ratio
ISTA,-1.133235867412869,8.772778088681964,0.1335679944543396,0,1.435229080016143,none,fashionmnist,0.25
FISTA,-1.1360943212743126,8.722383279554212,0.1346573101503832,0,1.6230640000139829,none,fashionmnist,0.25
StepThresholdISTA,-1.142024368697177,8.755553817807055,0.1366278096695868,32,1.525199559982866,final loss (0.3 min train),fashionmnist,0.25
LISTA-L2,-14.09375658187088,22.47924408202493,0.828289976676771,12293136,2.5359156999911647,L2 intermediate (2.4 min train),fashionmnist,0.25
ALISTA,-0.8466079166097189,8.369177458666318,0.1283667470494977,32,4.7863855399918975,analytic W + scalars (2.6 min train),fashionmnist,0.25
HyperLISTA,-0.2844167059189764,7.726360554949343,0.0908299536196838,3,4.780726079989108,grid-tuned hparams (0.3 min tune),fashionmnist,0.25
ISTA,-2.668600302059188,10.31619779442957,0.2920802578659977,0,1.9422220200067384,none,fashionmnist,0.5
FISTA,-2.8361906811358635,10.469152223378751,0.3149667672041807,0,2.205355640035122,none,fashionmnist,0.5
StepThresholdISTA,-2.8527141786849928,10.509330079948516,0.3195724823233318,32,2.460291840034188,final loss (0.5 min train),fashionmnist,0.5
LISTA-L2,-17.52081947859924,25.78576827122729,0.8905292729071427,14751760,3.6437732799822697,L2 intermediate (2.7 min train),fashionmnist,0.5
ALISTA,-2.648708826490592,9.965988819409116,0.2985163063477337,32,5.533197199983988,analytic W + scalars (2.5 min train),fashionmnist,0.5
HyperLISTA,-2.849376939806768,10.292662411579148,0.3230830141884429,3,7.206542459971388,grid-tuned hparams (0.4 min tune),fashionmnist,0.5
ISTA,-1.2985875089238226,11.080726232758924,0.1685645460970247,0,1.4313196199509548,none,mnist,0.25
FISTA,-1.3507275964069088,11.121382220509002,0.1997139743235691,0,1.5801173600630136,none,mnist,0.25
StepThresholdISTA,-1.4528937488299762,11.31901085357284,0.2109022613919136,32,1.5766181800427148,final loss (0.8 min train),mnist,0.25
LISTA-L2,-18.539924702831,28.7106355542228,0.9715184893641344,12293136,2.9377494999789637,L2 intermediate (2.3 min train),mnist,0.25
ALISTA,-1.151781500456433,11.139014631305844,0.2172381173713421,32,4.300619619971258,analytic W + scalars (2.4 min train),mnist,0.25
HyperLISTA,-0.961626199511497,10.85989231186446,0.2244446939942792,3,5.028313139991951,grid-tuned hparams (0.3 min tune),mnist,0.25
ISTA,-3.7410913239122894,13.469780477365417,0.4214155075085856,0,2.0884555000520777,none,mnist,0.5
FISTA,-5.380060872329596,14.79998808089739,0.5782404574584934,0,2.246343579972745,none,mnist,0.5
StepThresholdISTA,-7.7286007343427645,17.118020989637916,0.7334810919110706,32,2.433137940024608,final loss (1.2 min train),mnist,0.5
LISTA-L2,-24.508635524582672,34.75153538950052,0.9916940003556938,14751760,3.6077798000042094,L2 intermediate (1.0 min train),mnist,0.5
ALISTA,-9.832370354089072,19.22834962445576,0.8135025760023427,32,4.974380359999486,analytic W + scalars (1.5 min train),mnist,0.5
HyperLISTA,-9.26744426037966,18.06684619826402,0.8202261462410256,3,6.466137819952564,grid-tuned hparams (0.4 min tune),mnist,0.5
