seed,model,nmse_db
42,ISTA,-5.327034719937802
42,FISTA,-10.99519879180162
42,StepThresholdISTA,-23.526090543329016
42,LISTA-L1,-20.428080139908555
42,LISTA-L2,-22.202204846438786
42,LISTA-Tied-L2,-19.129133111882865
42,ALISTA,-29.96720664665643
42,HyperLISTA,-62.90134761235484
43,ISTA,-5.309711998646076
43,FISTA,-10.961089491450677
43,StepThresholdISTA,-23.359513795651075
43,LISTA-L1,-20.472383738985087
43,LISTA-L2,-22.631037941490256
43,LISTA-Tied-L2,-18.632075088087674
43,ALISTA,-29.929365477365945
43,HyperLISTA,-61.60090735114223
44,ISTA,-5.388792826461012
44,FISTA,-11.166038106493525
44,StepThresholdISTA,-23.717533770574967
44,LISTA-L1,-20.99838667922829
44,LISTA-L2,-22.39192680838823
44,LISTA-Tied-L2,-19.054214629269467
44,ALISTA,-29.98928626867956
44,HyperLISTA,-62.860962989735825
45,ISTA,-5.345336541179563
45,FISTA,-11.06032760995089
45,StepThresholdISTA,-23.452168825741243
45,LISTA-L1,-20.630070169329457
45,LISTA-L2,-22.27422926380858
45,LISTA-Tied-L2,-19.32125970432751
45,ALISTA,-29.930144054448263
45,HyperLISTA,-62.42350953279392
46,ISTA,-5.308169516510029
46,FISTA,-10.947080770510127
46,StepThresholdISTA,-23.793812369279856
46,LISTA-L1,-20.196534179193204
46,LISTA-L2,-22.351152862436514
46,LISTA-Tied-L2,-18.998502947503866
46,ALISTA,-30.006315731756125
46,HyperLISTA,-62.93365938134127
