dataset,ratio,seed,lambda,model,nmse_db,psnr,ssim
fashionmnist,0.25,42,0.5,ISTA,-3.5749221941307123,10.695573436754344,0.24853209128446116
fashionmnist,0.25,42,0.5,FISTA,-6.116930995537489,13.80408573966549,0.39683163080376904
fashionmnist,0.25,42,0.5,StepThresholdISTA,-7.6005167937645375,15.945872827822608,0.5100612876763003
fashionmnist,0.25,42,0.5,LISTA-L2,-14.475757152048722,23.325589409779578,0.7994464045426343
fashionmnist,0.25,42,0.5,ALISTA,-5.08320806430185,13.077802636837532,0.3954068989067709
fashionmnist,0.25,42,0.5,HyperLISTA,-7.7030975934559205,16.172695973992482,0.5218347970048445
fashionmnist,0.25,43,0.5,ISTA,-4.053129657195313,11.213089054277251,0.2641562561993016
fashionmnist,0.25,43,0.5,FISTA,-6.511127819573657,14.36604270387031,0.4084621253230627
fashionmnist,0.25,43,0.5,StepThresholdISTA,-7.526542479540006,15.808674579591777,0.5043887182143109
fashionmnist,0.25,43,0.5,LISTA-L2,-14.413792814691826,23.275088168524018,0.7947897595018006
fashionmnist,0.25,43,0.5,ALISTA,-5.00163097957055,13.068130195921992,0.3902254962566704
fashionmnist,0.25,43,0.5,HyperLISTA,-7.384999016449019,15.653955814506451,0.5036620116400231
fashionmnist,0.25,44,0.5,ISTA,-4.230028693917042,11.33563765227258,0.27331384496965544
fashionmnist,0.25,44,0.5,FISTA,-6.659538549193098,14.466775367063695,0.4113668138319648
fashionmnist,0.25,44,0.5,StepThresholdISTA,-7.741673091257317,15.957074405181976,0.5101574127376459
fashionmnist,0.25,44,0.5,LISTA-L2,-13.008628166240808,21.904829624766712,0.754758513286301
fashionmnist,0.25,44,0.5,ALISTA,-5.246478930378635,13.293709024406379,0.4060395103984929
fashionmnist,0.25,44,0.5,HyperLISTA,-7.805726145122388,16.215607779833555,0.5223687309481
