dataset,ratio,seed,lambda,model,nmse_db,psnr,ssim
mnist,0.25,42,0.1,ISTA,-1.2985875089238226,11.080726232758925,0.16856454609702476
mnist,0.25,42,0.1,FISTA,-1.3507275964069088,11.121382220509002,0.19971397432356913
mnist,0.25,42,0.1,StepThresholdISTA,-1.4528937488299762,11.319010853572841,0.21090226139191365
mnist,0.25,42,0.1,LISTA-L2,-18.539924702831,28.710635554222797,0.9715184893641343
mnist,0.25,42,0.1,ALISTA,-1.151781500456433,11.139014631305844,0.21723811737134216
mnist,0.25,42,0.1,HyperLISTA,-0.961626199511497,10.85989231186446,0.22444469399427924
mnist,0.25,43,0.1,ISTA,-1.499110088996086,11.254783335856782,0.18816634609609434
mnist,0.25,43,0.1,FISTA,-1.6062105478194735,11.326527867550137,0.225650750615005
mnist,0.25,43,0.1,StepThresholdISTA,-1.737017843002575,11.530711712667966,0.24202360033631667
mnist,0.25,43,0.1,LISTA-L2,-18.70119686037591,28.797113373608557,0.974273516071045
mnist,0.25,43,0.1,ALISTA,-1.3919030740719278,11.307769127663544,0.24638245751122181
mnist,0.25,43,0.1,HyperLISTA,-1.2502147259197067,10.98913723369159,0.25426065306432655
mnist,0.25,44,0.1,ISTA,-1.4872849648626894,11.249871852967907,0.18814910507648358
mnist,0.25,44,0.1,FISTA,-1.5815959961344803,11.30172328950645,0.22287826462568452
mnist,0.25,44,0.1,StepThresholdISTA,-1.6820997017183767,11.468395420129282,0.23685712746302476
mnist,0.25,44,0.1,LISTA-L2,-18.663731898386146,28.860821709325005,0.972545448744097
mnist,0.25,44,0.1,ALISTA,-1.3671590868428882,11.292335289138927,0.24547304908930645
mnist,0.25,44,0.1,HyperLISTA,-1.1599214288807507,10.975487093687033,0.2493695148338136
mnist,0.5,42,0.1,ISTA,-3.7410913239122894,13.469780477365415,0.4214155075085856
mnist,0.5,42,0.1,FISTA,-5.380060872329596,14.79998808089739,0.5782404574584934
mnist,0.5,42,0.1,StepThresholdISTA,-7.7286007343427645,17.118020989637916,0.7334810919110706
mnist,0.5,42,0.1,LISTA-L2,-24.508635524582672,34.75153538950052,0.9916940003556938
mnist,0.5,42,0.1,ALISTA,-9.832370354089072,19.22834962445576,0.8135025760023427
mnist,0.5,42,0.1,HyperLISTA,-9.267444260379659,18.06684619826402,0.8202261462410256
mnist,0.5,43,0.1,ISTA,-3.9451759960631327,13.612646921238525,0.43270382975430444
mnist,0.5,43,0.1,FISTA,-5.68353392054351,15.022681342315318,0.5966894173552891
mnist,0.5,43,0.1,StepThresholdISTA,-8.03029723805239,17.29157458227607,0.7468474594462459
mnist,0.5,43,0.1,LISTA-L2,-24.390058270724538,34.73416980526325,0.9912807451034897
mnist,0.5,43,0.1,ALISTA,-10.088022134579422,19.391042549514268,0.8196151554151733
mnist,0.5,43,0.1,HyperLISTA,-9.58464488378794,18.34560169851083,0.8329113433414864
mnist,0.5,44,0.1,ISTA,-4.078163511652391,13.767209359461535,0.4453507470389392
mnist,0.5,44,0.1,FISTA,-5.92452944135721,15.280071510683802,0.6106761477597585
mnist,0.5,44,0.1,StepThresholdISTA,-8.595855498694297,17.95142401778201,0.7680223930656306
mnist,0.5,44,0.1,LISTA-L2,-24.31324170619876,34.44406052105931,0.9917869671845573
mnist,0.5,44,0.1,ALISTA,-10.856976071654639,20.231016790666217,0.8436551409221034
mnist,0.5,44,0.1,HyperLISTA,-10.302919350394543,19.294513543101072,0.8385058236179495
fashionmnist,0.25,42,0.01,ISTA,-1.133235867412869,8.772778088681964,0.13356799445433967
fashionmnist,0.25,42,0.01,FISTA,-1.1360943212743126,8.722383279554212,0.13465731015038324
fashionmnist,0.25,42,0.01,StepThresholdISTA,-1.142024368697177,8.755553817807055,0.13662780966958682
fashionmnist,0.25,42,0.01,LISTA-L2,-14.093756581870881,22.479244082024934,0.828289976676771
fashionmnist,0.25,42,0.01,ALISTA,-0.8466079166097189,8.369177458666318,0.12836674704949774
fashionmnist,0.25,42,0.01,HyperLISTA,-0.2844167059189764,7.726360554949343,0.09082995361968382
fashionmnist,0.25,43,0.01,ISTA,-1.3407137317372801,8.98835026214709,0.14202700514299843
fashionmnist,0.25,43,0.01,FISTA,-1.3480642529053508,8.940807029640187,0.1431337589953438
fashionmnist,0.25,43,0.01,StepThresholdISTA,-1.3484653858606754,8.983114179258049,0.14524903852414173
fashionmnist,0.25,43,0.01,LISTA-L2,-14.057021681315875,22.43334184112816,0.8285247251266347
fashionmnist,0.25,43,0.01,ALISTA,-1.0719969076212077,8.506321242358458,0.1336205505158356
fashionmnist,0.25,43,0.01,HyperLISTA,-0.4104473784008812,7.851051478422616,0.09333021945321968
fashionmnist,0.25,44,0.003,ISTA,-1.3513010581311802,8.980550271036591,0.14372012002890508
fashionmnist,0.25,44,0.003,FISTA,-1.3550915827973866,8.972404296841884,0.14509562456937378
fashionmnist,0.25,44,0.003,StepThresholdISTA,-1.3595553997487437,8.961967733569207,0.14368898286290993
fashionmnist,0.25,44,0.003,LISTA-L2,-13.62243138578679,22.113434778991042,0.8129599084480944
fashionmnist,0.25,44,0.003,ALISTA,-1.0429661783710569,8.46934142612378,0.135264564505522
fashionmnist,0.25,44,0.003,HyperLISTA,-0.14470987881484443,7.762989488039883,0.09400724854473863
fashionmnist,0.5,42,0.01,ISTA,-2.668600302059188,10.31619779442957,0.2920802578659977
fashionmnist,0.5,42,0.01,FISTA,-2.8361906811358635,10.469152223378753,0.3149667672041807
fashionmnist,0.5,42,0.01,StepThresholdISTA,-2.8527141786849928,10.509330079948517,0.3195724823233318
fashionmnist,0.5,42,0.01,LISTA-L2,-17.52081947859924,25.785768271227294,0.8905292729071427
fashionmnist,0.5,42,0.01,ALISTA,-2.6487088264905916,9.965988819409116,0.29851630634773374
fashionmnist,0.5,42,0.01,HyperLISTA,-2.849376939806768,10.292662411579148,0.3230830141884429
fashionmnist,0.5,43,0.01,ISTA,-2.90136749114869,10.512970012352465,0.29586675233874893
