,,,nmse_db,nmse_db,ssim,ssim
,,,mean,std,mean,std
dataset,ratio,model,,,,
fashionmnist,0.25,ALISTA,-0.987,0.123,0.132,0.004
fashionmnist,0.25,FISTA,-1.28,0.124,0.141,0.006
fashionmnist,0.25,HyperLISTA,-0.28,0.133,0.093,0.002
fashionmnist,0.25,ISTA,-1.275,0.123,0.14,0.005
fashionmnist,0.25,LISTA-L2,-13.924,0.262,0.823,0.009
fashionmnist,0.25,StepThresholdISTA,-1.283,0.123,0.142,0.005
fashionmnist,0.5,ALISTA,-2.817,0.147,0.303,0.005
fashionmnist,0.5,FISTA,-3.041,0.19,0.32,0.007
fashionmnist,0.5,HyperLISTA,-3.02,0.157,0.327,0.005
fashionmnist,0.5,ISTA,-2.87,0.188,0.298,0.006
fashionmnist,0.5,LISTA-L2,-17.474,0.041,0.89,0.001
fashionmnist,0.5,StepThresholdISTA,-3.076,0.199,0.326,0.006
mnist,0.25,ALISTA,-1.304,0.132,0.236,0.017
mnist,0.25,FISTA,-1.513,0.141,0.216,0.014
mnist,0.25,HyperLISTA,-1.124,0.148,0.243,0.016
mnist,0.25,ISTA,-1.428,0.113,0.182,0.011
mnist,0.25,LISTA-L2,-18.635,0.084,0.973,0.001
mnist,0.25,StepThresholdISTA,-1.624,0.151,0.23,0.017
mnist,0.5,ALISTA,-10.259,0.533,0.826,0.016
mnist,0.5,FISTA,-5.663,0.273,0.595,0.016
mnist,0.5,HyperLISTA,-9.718,0.531,0.831,0.009
mnist,0.5,ISTA,-3.921,0.17,0.433,0.012
mnist,0.5,LISTA-L2,-24.404,0.098,0.992,0.0
mnist,0.5,StepThresholdISTA,-8.118,0.44,0.749,0.017
